Job Zone,onet_code,Occupation,Data-level,url,Median Wage,Projected Growth,"Employment Change, 2024-2034",Projected Job Openings,Education,Top Education Level,Top Education Rate,Sample Job Titles,Job Description,altpath url,altpath simple title,total_tasks,aei_tasks,ai_task_coverage_pct,weighted_automation_pct,weighted_augmentation_pct,weighted_task_success_pct,weighted_ai_autonomy_mean,weighted_speedup_factor
4.0,13-2011.00,Accountants and Auditors,Y,https://www.onetonline.org/link/summary/13-2011.00,"$39.27 hourly, $81,680 annual",Faster than average (5% to 6%),4.6,"124,200",Bachelor's degree,Bachelor's degree,,"Accountant, Accounting Officer, Audit Partner, Auditor, Certified Public Accountant (CPA), Cost Accountant, Financial Auditor, General Accountant, Internal Auditor, Revenue Tax Specialist","Examine, analyze, and interpret accounting records to prepare financial statements, give advice, or audit and evaluate statements prepared by others. Install or advise on systems of recording costs or other financial and budgetary data.",https://altpath.org/discover/b9wk32fskvzsllwxszle3nas,Accountant,29.0,8.0,27.6,41.91294646728085,21.1342940517339,63.93533196605576,3.3041829953627286,15.730828754810627
2.0,27-2011.00,Actors,Y,https://www.onetonline.org/link/summary/27-2011.00,$23.33 hourly,Little or no change,0.3,"6,300",45% Less than high school diploma | 21% Bachelor’s degree,Less than high school diploma,45%,"Actor, Actress, Comedian, Comic, Community Theater Actor, Ensemble Member, Narrator, Performer, Tour Actor, Voice-Over Artist","Play parts in stage, television, radio, video, motion picture productions, or other settings for entertainment, information, or instruction. Interpret serious or comic role by speech, gesture, and body movement to entertain or inform audience. May dance and sing.",https://altpath.org/discover/ujyoph0ljccmlbu2nxobb8nz,Actor,18.0,7.0,38.9,38.12480202322591,17.920442498821405,82.06450695033865,3.4407554087880974,8.177923571124813
4.0,15-2011.00,Actuaries,Y,https://www.onetonline.org/link/summary/15-2011.00,"$60.47 hourly, $125,770 annual",Much faster than average (7% or higher),21.8,"2,400",79% Bachelor’s degree | 11% Post-baccalaureate certificate,Bachelor's degree,79%,"Actuarial Analyst, Actuarial Associate, Actuarial Consultant, Actuary, Consulting Actuary, Health Actuary, Pricing Actuary, Pricing Analyst, Product Development Actuary, Retirement Actuary","Analyze statistical data, such as mortality, accident, sickness, disability, and retirement rates and construct probability tables to forecast risk and liability for payment of future benefits. May ascertain insurance rates required and cash reserves necessary to ensure payment of future benefits.",https://altpath.org/discover/u27b0gb84uyrciys4b46u555,Actuary,15.0,3.0,20.0,18.187001140250857,36.545039908779934,78.26007237147303,3.4957801414914194,11.471546668627262
5.0,29-1291.00,Acupuncturists,Y,https://www.onetonline.org/link/summary/29-1291.00,"$37.57 hourly, $78,140 annual",Much faster than average (7% or higher),6.8,900,68% Master’s degree | 14% Doctoral degree,Master's degree,68%,"Acupuncture Doctor, Acupuncture Physician, Acupuncture Provider, Acupuncturist, Chinese Medical Doctor (Chinese MD), Chinese Medicine Doctor, Herbalist, Licensed Acupuncturist (LAC), Oriental Medicine Provider, Traditional Chinese Medicine Doctor","Diagnose, treat, and prevent disorders by stimulating specific acupuncture points within the body using acupuncture needles. May also use cups, nutritional supplements, therapeutic massage, acupressure, and other alternative health therapies.",https://altpath.org/discover/p4tcovyot1mehwun08mq0swd,Acupuncturist,18.0,4.0,22.2,,42.38871335980237,80.04449683225265,3.5595614436359924,9.398803252745235
4.0,29-1141.01,Acute Care Nurses,Y,https://www.onetonline.org/link/summary/29-1141.01,"$45.00 hourly, $93,600 annual",Faster than average (5% to 6%),,"189,100",57% Bachelor’s degree | 19% Associate’s degree,Bachelor's degree,57%,"Charge Nurse, Charge Nurse, Cardiac Interventional Care, Clinical Educator, Clinical Nurse Educator, Clinical Staff Educator, Nurse Manager, Nursing Director, Preceptor, Progressive Care Unit Registered Nurse, Staff Nurse","Provide advanced nursing care for patients with acute conditions such as heart attacks, respiratory distress syndrome, or shock. May care for pre- and post-operative patients or perform advanced, invasive diagnostic or therapeutic procedures.",https://altpath.org/discover/xszwhld49yh7swe9lhxuabdr,Acute Care Nurse,27.0,5.0,18.5,28.749999999999996,57.996826987989635,81.18895793049658,3.453888254940008,7.239562482945138
5.0,25-2059.01,Adapted Physical Education Specialists,Y,https://www.onetonline.org/link/summary/25-2059.01,"$67,430 annual",Slower than average (1% to 2%),,"2,900",38% Bachelor’s degree | 33% Post-baccalaureate certificate,Bachelor's degree,38%,"Adapted Physical Education or Adapted Physical Activity Specialist, Adapted Physical Education Specialist, Adapted Physical Education Specialist-Workshop Leader, Adapted Physical Education Teacher, Certified Adapted Physical Educator, Physical Education Teacher","Provide individualized physical education instruction or services to children, youth, or adults with exceptional physical needs due to gross motor developmental delays or other impairments.",https://altpath.org/discover/nnpmf9c12zb1bpeg62b7doed,Physical Education Specialist,20.0,2.0,10.0,38.87944087657664,,91.0302311530802,3.1813272599148124,5.854781821713805
2.0,51-9191.00,Adhesive Bonding Machine Operators and Tenders,Y,https://www.onetonline.org/link/summary/51-9191.00,"$21.74 hourly, $45,210 annual",Slower than average (1% to 2%),1.0,"1,300",73% High school diploma or equivalent | 17% Post-secondary certificate,High school diploma or equivalent,73%,"Coater Operator, Glue Line Operator, Glue Reel Operator, Gluer Machine Operator, Gluing Pressman, Machine Operator, Perfect Bind Machine Operator, Process Assistant, Sealer Operator, Utility Worker","Operate or tend bonding machines that use adhesives to join items for further processing or to form a completed product. Processes include joining veneer sheets into plywood; gluing paper; or joining rubber and rubberized fabric parts, plastic, simulated leather, or other materials.",https://altpath.org/discover/uyws8dgzzkc2c7dy9s3mmgq8,Bonding Machine Operator,16.0,1.0,6.2,,,78.94736842105263,3.421052694320679,6.273684024810791
5.0,23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",Y,https://www.onetonline.org/link/summary/23-1021.00,"$55.40 hourly, $115,230 annual",Decline (-1% or lower),-0.7,500,37% Doctoral degree | 20% Bachelor’s degree,Doctoral degree,37%,"Adjudicator, Administrative Hearing Officer, Administrative Judge, Administrative Law Judge, Appeals Examiner, Appeals Referee, Claims Adjudicator, Hearing Officer, Judge, Workers' Compensation Hearings Officer","Conduct hearings to recommend or make decisions on claims concerning government programs or other government-related matters. Determine liability, sanctions, or penalties, or recommend the acceptance or rejection of claims or settlements.",https://altpath.org/discover/h1ncpdqjhjs5vwte5scb92hu,Administrative Law Judge,14.0,3.0,21.4,42.11557567816408,29.409636515013897,67.11162668377894,3.098758854480832,12.260777656422317
3.0,11-3012.00,Administrative Services Managers,Y,https://www.onetonline.org/link/summary/11-3012.00,"$52.11 hourly, $108,390 annual",Faster than average (5% to 6%),4.6,"23,200",34% High school diploma or equivalent | 24% Bachelor’s degree,High school diploma or equivalent,34%,"Administrative Coordinator, Administrative Director, Administrative Manager, Administrative Officer, Administrator, Business Administrator, Business Manager","Plan, direct, or coordinate one or more administrative services of an organization, such as records and information management, mail distribution, and other office support services.",https://altpath.org/discover/ckbj80grkkvynylzjdj63007,Administrative Services Manager,18.0,1.0,5.6,,,,3.46666669845581,8.311828319758172
4.0,25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",Y,https://www.onetonline.org/link/summary/25-3011.00,"$28.82 hourly, $59,950 annual",Decline (-1% or lower),-13.7,"3,900",41% Bachelor’s degree | 20% Master’s degree,Bachelor's degree,41%,"Adult Basic Education Instructor (ABE Instructor), Adult Basic Education Teacher (ABE Teacher), Adult Education Instructor, Adult Education Teacher, ESL Instructor (English as a Second Language Instructor), ESL Teacher (English as a Second Language Teacher), ESOL Teacher (English for Speakers of Other Languages Teacher), GED Instructor (General Educational Development Instructor), GED Teacher (General Educational Development Teacher), Teacher","Teach or instruct out-of-school youths and adults in remedial education classes, preparatory classes for the General Educational Development test, literacy, or English as a Second Language. Teaching may or may not take place in a traditional educational institution.",https://altpath.org/discover/w5nk7itlhuh7f41oo8j4qooc,Adult Education Instructor,37.0,19.0,51.4,40.26152309753295,46.925349295938645,78.51045865381894,3.383009513567023,10.507891257365973
