Job Zone,Code,Occupation,Data-level,url,Median Wage,Projected Growth,Projected Job Openings
4,13-2011.00,Accountants and Auditors,Y,https://www.onetonline.org/link/summary/13-2011.00,"$39.27 hourly, $81,680 annual",Faster than average (5% to 6%),"124,200"
2,27-2011.00,Actors,Y,https://www.onetonline.org/link/summary/27-2011.00,$23.33 hourly,Little or no change,"6,300"
4,15-2011.00,Actuaries,Y,https://www.onetonline.org/link/summary/15-2011.00,"$60.47 hourly, $125,770 annual",Much faster than average (7% or higher),"2,400"
5,29-1291.00,Acupuncturists,Y,https://www.onetonline.org/link/summary/29-1291.00,"$37.57 hourly, $78,140 annual",Much faster than average (7% or higher),900
4,29-1141.01,Acute Care Nurses,Y,https://www.onetonline.org/link/summary/29-1141.01,"$45.00 hourly, $93,600 annual",Faster than average (5% to 6%),"189,100"
5,25-2059.01,Adapted Physical Education Specialists,Y,https://www.onetonline.org/link/summary/25-2059.01,"$67,430 annual",Slower than average (1% to 2%),"2,900"
2,51-9191.00,Adhesive Bonding Machine Operators and Tenders,Y,https://www.onetonline.org/link/summary/51-9191.00,"$21.74 hourly, $45,210 annual",Slower than average (1% to 2%),"1,300"
5,23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",Y,https://www.onetonline.org/link/summary/23-1021.00,"$55.40 hourly, $115,230 annual",Decline (-1% or lower),500
3,11-3012.00,Administrative Services Managers,Y,https://www.onetonline.org/link/summary/11-3012.00,"$52.11 hourly, $108,390 annual",Faster than average (5% to 6%),"23,200"
4,25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",Y,https://www.onetonline.org/link/summary/25-3011.00,"$28.82 hourly, $59,950 annual",Decline (-1% or lower),"3,900"
5,29-1141.02,Advanced Practice Psychiatric Nurses,Y,https://www.onetonline.org/link/summary/29-1141.02,"$45.00 hourly, $93,600 annual",Faster than average (5% to 6%),"189,100"
4,11-2011.00,Advertising and Promotions Managers,Y,https://www.onetonline.org/link/summary/11-2011.00,"$61.04 hourly, $126,960 annual",Decline (-1% or lower),"2,100"
4,41-3011.00,Advertising Sales Agents,Y,https://www.onetonline.org/link/summary/41-3011.00,"$29.55 hourly, $61,460 annual",Decline (-1% or lower),"9,300"
3,17-3021.00,Aerospace Engineering and Operations Technologists and Technicians,Y,https://www.onetonline.org/link/summary/17-3021.00,"$38.38 hourly, $79,830 annual",Much faster than average (7% or higher),900
4,17-2011.00,Aerospace Engineers,Y,https://www.onetonline.org/link/summary/17-2011.00,"$64.82 hourly, $134,830 annual",Faster than average (5% to 6%),"4,500"
4,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",Y,https://www.onetonline.org/link/summary/13-1011.00,"$46.30 hourly, $96,310 annual",Much faster than average (7% or higher),"2,200"
4,17-2021.00,Agricultural Engineers,Y,https://www.onetonline.org/link/summary/17-2021.00,"$40.69 hourly, $84,630 annual",Faster than average (5% to 6%),100
1,45-2091.00,Agricultural Equipment Operators,Y,https://www.onetonline.org/link/summary/45-2091.00,"$20.47 hourly, $42,580 annual",Much faster than average (7% or higher),"10,500"
2,45-2011.00,Agricultural Inspectors,Y,https://www.onetonline.org/link/summary/45-2011.00,"$24.51 hourly, $50,990 annual",Slower than average (1% to 2%),"2,200"
5,25-1041.00,"Agricultural Sciences Teachers, Postsecondary",Y,https://www.onetonline.org/link/summary/25-1041.00,"$86,350 annual",Average (3% to 4%),800
3,19-4012.00,Agricultural Technicians,Y,https://www.onetonline.org/link/summary/19-4012.00,"$22.49 hourly, $46,790 annual",Average (3% to 4%),"2,900"
n/a,45-2099.00,"Agricultural Workers, All Other",,https://www.onetonline.org/link/summary/45-2099.00,"$19.42 hourly, $40,390 annual",Slower than average (1% to 2%),"1,500"
n/a,55-3011.00,Air Crew Members,,https://www.onetonline.org/link/summary/55-3011.00,,,
n/a,55-1011.00,Air Crew Officers,,https://www.onetonline.org/link/summary/55-1011.00,,,
3,53-2021.00,Air Traffic Controllers,Y,https://www.onetonline.org/link/summary/53-2021.00,"$69.51 hourly, $144,580 annual",Slower than average (1% to 2%),"2,200"
2,53-1041.00,Aircraft Cargo Handling Supervisors,Y,https://www.onetonline.org/link/summary/53-1041.00,"$30.74 hourly, $63,940 annual",Faster than average (5% to 6%),"1,100"
n/a,55-1012.00,Aircraft Launch and Recovery Officers,,https://www.onetonline.org/link/summary/55-1012.00,,,
n/a,55-3012.00,Aircraft Launch and Recovery Specialists,,https://www.onetonline.org/link/summary/55-3012.00,,,
3,49-3011.00,Aircraft Mechanics and Service Technicians,Y,https://www.onetonline.org/link/summary/49-3011.00,"$37.83 hourly, $78,680 annual",Average (3% to 4%),"11,300"
2,53-6032.00,Aircraft Service Attendants,Y,https://www.onetonline.org/link/summary/53-6032.00,"$19.97 hourly, $41,540 annual",Faster than average (5% to 6%),"4,300"
2,51-2011.00,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",Y,https://www.onetonline.org/link/summary/51-2011.00,"$29.65 hourly, $61,680 annual",Decline (-1% or lower),"2,800"
3,53-2022.00,Airfield Operations Specialists,Y,https://www.onetonline.org/link/summary/53-2022.00,"$27.28 hourly, $56,750 annual",Average (3% to 4%),"1,600"
4,53-2011.00,"Airline Pilots, Copilots, and Flight Engineers",Y,https://www.onetonline.org/link/summary/53-2011.00,"$226,600 annual",Average (3% to 4%),"11,700"
5,29-1229.01,Allergists and Immunologists,Y,https://www.onetonline.org/link/summary/29-1229.01,"$115.00+ hourly, $239,200+ annual",Average (3% to 4%),"9,600"
2,53-3011.00,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",Y,https://www.onetonline.org/link/summary/53-3011.00,"$16.51 hourly, $34,330 annual",Decline (-1% or lower),"1,400"
1,39-3091.00,Amusement and Recreation Attendants,Y,https://www.onetonline.org/link/summary/39-3091.00,"$14.66 hourly, $30,490 annual",Average (3% to 4%),"102,400"
5,29-1071.01,Anesthesiologist Assistants,Y,https://www.onetonline.org/link/summary/29-1071.01,"$64.07 hourly, $133,260 annual",Much faster than average (7% or higher),"12,000"
5,29-1211.00,Anesthesiologists,Y,https://www.onetonline.org/link/summary/29-1211.00,"$115.00+ hourly, $239,200+ annual",Average (3% to 4%),"1,300"
2,45-2021.00,Animal Breeders,Y,https://www.onetonline.org/link/summary/45-2021.00,"$25.00 hourly, $52,000 annual",Slower than average (1% to 2%),"1,200"
