Soc Code,URL,Simple Title
33-3052.00,https://altpath.org/discover/e8s90ju1t4za1pjelk3nic2a,Transit Police
15-1299.00,https://altpath.org/discover/bxapek47t2oayvy1xrxm8sm0,Computer Occupation
31-9011.00,https://altpath.org/discover/ij3smswq0bzjniptc5s6y2z2,Massage Therapist
25-9049.00,https://altpath.org/discover/agpxm98wd7hrucko68malhpd,Teaching Assistants
49-9043.00,https://altpath.org/discover/rt7v4mkrsvhx1jy9c8p82vhs,Machinery Maintenance Worker
15-1221.00,https://altpath.org/discover/i3oz4o2iw12ucb1yte8g5mpj,Computer Science Researcher
19-5012.00,https://altpath.org/discover/k89w0krbcygphsixxrihh850,Occupational Safety Technician
53-7065.00,https://altpath.org/discover/p7ac9f52exxsoqfpcv77ld4f,Stock Filler
13-2082.00,https://altpath.org/discover/fs9o5kd1bdrxyl3et1c1jumx,Tax Preparer
17-2141.00,https://altpath.org/discover/wvhvnsiud5im9zn8pkdqlxky,Mechanical Engineer
41-9022.00,https://altpath.org/discover/dwu3v0pqolguifvmj89iwn3i,Real Estate Sales Agent
17-3013.00,https://altpath.org/discover/jlk9hr6a88cmfgr5jkvbb8lf,Mechanical Drafter
15-1255.00,https://altpath.org/discover/t5h7hm50gwkxd8dxcz9bouew,Web Designer
53-2022.00,https://altpath.org/discover/cm3zixsd5tynlmeomgupczfx,Airfield Operations Specialist
31-9091.00,https://altpath.org/discover/b5gh0030om6z7grmqdex9sqy,Dental Assistant
17-3011.00,https://altpath.org/discover/kwakm1xt39ecfxd7hmmlu9ss,Architectural Drafter
27-4031.00,https://altpath.org/discover/qs9sqcndtcjqqtgv6qxztwkp,Video & Film Camera Operator
27-4011.00,https://altpath.org/discover/qfa1xpud38ncjbomhwgaec7j,Audio and Video Technician
29-2072.00,https://altpath.org/discover/ru6dvuuip0pzgv0w3sggpjho,Medical Records Specialist
35-2013.00,https://altpath.org/discover/h72n5ksj196dk660ymwby3am,Private Cook
49-2022.00,https://altpath.org/discover/e6wgzqfl5wd7cuhr34ubbsz7,Telecomm Equipment Installer
43-4061.00,https://altpath.org/discover/hkf6gycl8r9uknsat2pe4ktg,Government Interviewer
27-1014.00,https://altpath.org/discover/zv95o4u3m0wsb5d1y6u3q8rs,Special Effects Artist
17-2171.00,https://altpath.org/discover/fr2fuikjbfhc3uy847yweg23,Petroleum Engineer
29-1221.00,https://altpath.org/discover/r3v0f7olarlh7orzxymlmcet,Pediatrician
13-1032.00,https://altpath.org/discover/g767vjtt1xdunsvmaomzesd2,Auto Insurance Appraiser
49-2097.00,https://altpath.org/discover/kq41bvt5728rie5sneb7nilc,Audiovisual Equipment Installer
51-8021.00,https://altpath.org/discover/dh5pxtyk8jgafrbw6z5ouhpl,Stationary Engineer
39-4011.00,https://altpath.org/discover/wnl9hdp7ge9vou6o99h71zfq,Embalmer
25-2011.00,https://altpath.org/discover/agtsdp88dyxu5q5cr71l0bzx,Preschool Teacher
29-1071.00,https://altpath.org/discover/v7omcx7pwbllyh89eevk9kt3,Physician Assistant
29-2081.00,https://altpath.org/discover/ehz42y8sqrkk16ucc7tl0j1s,Optician
19-4071.00,https://altpath.org/discover/cui59w2ys5ykxrjx9whikn7w,Forest Technician
27-4014.00,https://altpath.org/discover/ypjmpn80q7gw7sliyb2b2haa,Sound Engineering Technician
29-1161.00,https://altpath.org/discover/pve280tesbqkxfa9qysqpmri,Nurse Midwife
27-2099.00,https://altpath.org/discover/glv1fcccvr8ps2fpsggqzk40,Entertainers & Performers
13-2051.00,https://altpath.org/discover/yk9i6zmb9w9b7l8bhki5aveq,Financial Analyst
11-3021.00,https://altpath.org/discover/fg45pkmf9dydw8j0r7426rqc,Information Systems Manager
49-9099.00,https://altpath.org/discover/knpaz2sno83v4vy5ct9qrpmt,Installation and Maintenance Workers
39-7012.00,https://altpath.org/discover/hvzattuyw644xuxyw402us1u,Travel Guide
49-9051.00,https://altpath.org/discover/vyv9j6oyw3wlsmab8mzos01w,Electrical Power-Line Installer
47-2231.00,https://altpath.org/discover/qytfobzs8zxaxa4mcu8af4ew,Solar Photovoltaic Installer
15-1242.00,https://altpath.org/discover/ogs87bliy39tmgb8wvtx19ng,Database Administrator
11-9013.00,https://altpath.org/discover/eqysqcxsw7dfdm9h699yir5x,Farmer or Rancher
33-1012.00,https://altpath.org/discover/omdb70wug2zwloz45dg4q9as,Police Supervisor
19-4012.00,https://altpath.org/discover/uo447zgtkbfswikoiqt3l8cc,Agricultural Technician
51-9082.00,https://altpath.org/discover/snlr4kma5yhza2wgwtt8g2lt,Medical Appliance Technician
17-2031.00,https://altpath.org/discover/usne7sk6zb02l7ij13qm9f6p,Bioengineer
27-1026.00,https://altpath.org/discover/l249daalbx1wbr0ao73dmshx,Merchandise Displayer
39-6012.00,https://altpath.org/discover/ubfy8wtuy8qugvbp283b4fib,Concierge
29-1081.00,https://altpath.org/discover/u3is1ck4ff0cu8zip33su1e5,Podiatrist
49-2011.00,https://altpath.org/discover/ox4aab8b07d8zm0hsjx7srka,Office Machine Repairer
